DeploymentName,PodName,Deployed_to_PodScheduled,PodScheduled_to_Init,Init_to_ContainersReady,ContainersReady_to_Ready,Delete_to_CleanUp
deploy-test-14,deploy-test-14-cb958f67d-v9wfd,1000.0,0.0,1000.0,0.0,1000.0
deploy-test-28,deploy-test-28-66d8f87c9f-jkd7l,2000.0,0.0,1000.0,0.0,1000.0
deploy-test-48,deploy-test-48-775fff5cf7-r6pfp,4000.0,0.0,2000.0,0.0,1000.0
deploy-test-58,deploy-test-58-7b5fcbd7fd-rts8s,4000.0,0.0,3000.0,0.0,1000.0
deploy-test-73,deploy-test-73-6bbb59c559-mvhrv,5000.0,0.0,2000.0,0.0,0.0
deploy-test-88,deploy-test-88-6d865698f-gptx2,5000.0,0.0,2000.0,0.0,0.0
deploy-test-8,deploy-test-8-669d47464c-bcqk5,0.0,0.0,2000.0,0.0,2000.0
deploy-test-18,deploy-test-18-774dd4ffcd-kpng7,2000.0,0.0,2000.0,0.0,1000.0
deploy-test-49,deploy-test-49-75ff4fc6b8-2hwlh,4000.0,0.0,1000.0,0.0,1000.0
deploy-test-79,deploy-test-79-5c58c8c88f-pc2s5,4000.0,0.0,3000.0,0.0,1000.0
deploy-test-81,deploy-test-81-7d68d444b4-9852c,5000.0,0.0,1000.0,0.0,2000.0
deploy-test-89,deploy-test-89-54d6f4fb48-r58jq,4000.0,0.0,2000.0,0.0,1000.0
deploy-test-20,deploy-test-20-6b99c9487f-7zg64,2000.0,0.0,2000.0,0.0,1000.0
deploy-test-38,deploy-test-38-74697578cb-gm6nz,3000.0,0.0,2000.0,0.0,0.0
deploy-test-60,deploy-test-60-6b9686fdbc-m4kk2,4000.0,0.0,1000.0,0.0,1000.0
deploy-test-39,deploy-test-39-65dc89c7d5-d4mtn,3000.0,0.0,1000.0,0.0,1000.0
deploy-test-41,deploy-test-41-76b48cb76d-n9xz5,3000.0,0.0,2000.0,0.0,1000.0
deploy-test-44,deploy-test-44-68544bb8b5-82ccf,3000.0,0.0,1000.0,0.0,1000.0
deploy-test-47,deploy-test-47-74bc68f67d-dss7p,4000.0,0.0,2000.0,0.0,2000.0
deploy-test-51,deploy-test-51-587cc49cff-6c55j,4000.0,0.0,1000.0,0.0,2000.0
