framework,namespace,pod,container,type,network_type,value
karmada,kube-prometheus-stack,kube-prometheus-stack-prometheus-node-exporter-l9wpn,POD,transmit_bytes,kubernetes,272946.7750636435
karmada,kube-prometheus-stack,kube-prometheus-stack-prometheus-node-exporter-l9wpn,POD,transmit_packets,kubernetes,3931.7634317663505
karmada,kube-prometheus-stack,kube-prometheus-stack-prometheus-node-exporter-mlnpr,POD,received_bytes,kubernetes,3414.878811658307
karmada,kube-prometheus-stack,kube-prometheus-stack-prometheus-node-exporter-mlnpr,POD,received_packets,kubernetes,26.469526799681205
karmada,kube-prometheus-stack,kube-prometheus-stack-prometheus-node-exporter-mlnpr,POD,transmit_bytes,kubernetes,35430.750084957945
karmada,kube-prometheus-stack,kube-prometheus-stack-prometheus-node-exporter-mlnpr,POD,transmit_packets,kubernetes,25.384929746369227
karmada,kube-prometheus-stack,prometheus-kube-prometheus-stack-prometheus-0,POD,received_bytes,kubernetes,44123.32939332647
karmada,kube-prometheus-stack,prometheus-kube-prometheus-stack-prometheus-0,POD,received_packets,kubernetes,14.712879706855615
karmada,kube-prometheus-stack,prometheus-kube-prometheus-stack-prometheus-0,POD,transmit_bytes,kubernetes,1213.1941282835178
karmada,kube-prometheus-stack,prometheus-kube-prometheus-stack-prometheus-0,POD,transmit_packets,kubernetes,12.676523797222352
karmada,kube-system,calico-kube-controllers-658d97c59c-jhtlv,POD,received_bytes,kubernetes,1673.4595954177319
karmada,kube-system,calico-kube-controllers-658d97c59c-jhtlv,POD,received_packets,kubernetes,1.0972715703310056
karmada,kube-system,calico-kube-controllers-658d97c59c-jhtlv,POD,transmit_bytes,kubernetes,92.75212042743424
karmada,kube-system,calico-kube-controllers-658d97c59c-jhtlv,POD,transmit_packets,kubernetes,1.043488716773811
karmada,kube-system,calico-node-6bglp,POD,received_bytes,kubernetes,402410.8361897852
karmada,kube-system,calico-node-6bglp,POD,received_packets,kubernetes,5286.721388509493
karmada,kube-system,calico-node-6bglp,POD,transmit_bytes,kubernetes,427074.63572819665
karmada,kube-system,calico-node-6bglp,POD,transmit_packets,kubernetes,5275.775953526528
karmada,kube-system,calico-node-8s89v,POD,received_bytes,kubernetes,161739.74606497868
karmada,kube-system,calico-node-8s89v,POD,received_packets,kubernetes,2496.9404397729613
karmada,kube-system,calico-node-8s89v,POD,transmit_bytes,kubernetes,174934.7837842903
karmada,kube-system,calico-node-8s89v,POD,transmit_packets,kubernetes,2506.7943519859814
karmada,kube-system,calico-node-fszxf,POD,received_bytes,kubernetes,248394.24727752703
karmada,kube-system,calico-node-fszxf,POD,received_packets,kubernetes,3852.8118107211594
karmada,kube-system,calico-node-fszxf,POD,transmit_bytes,kubernetes,268584.8126525211
karmada,kube-system,calico-node-fszxf,POD,transmit_packets,kubernetes,3867.851662712821
karmada,kube-system,calico-node-n2292,POD,received_bytes,kubernetes,443199.6756990454
karmada,kube-system,calico-node-n2292,POD,received_packets,kubernetes,5504.243582458217
karmada,kube-system,calico-node-n2292,POD,transmit_bytes,kubernetes,421545.26568946335
karmada,kube-system,calico-node-n2292,POD,transmit_packets,kubernetes,5488.601043805912
